,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01,2026-07-01,2026-08-01,2026-09-01,2026-10-01
2018-01-02,379.75,379.25,378.5,378.0,377.75,377.25,376.5,375.25,373.75,371.75,370.5,369.0,369.5,369.5,369.25,371.0,371.75,372.25,370.0,367.25,364.5,361.0,355.75,349.75,363.25,365.0,367.5,369.0,370.25,370.25,367.25,368.5,369.5,370.0,371.0,371.75,365.0,363.75,362.5,361.25,360.0,358.75,346.5,345.25,344.0,342.75,341.5,341.5,341.5,341.5,341.5,341.5,341.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,386.5,384.25,383.5,383.0,382.75,382.25,381.75,380.75,379.25,377.25,376.0,374.25,374.5,374.5,374.25,376.0,376.5,376.75,373.75,370.5,367.0,363.0,357.25,350.75,365.0,366.5,368.75,370.0,371.0,370.75,367.25,368.25,369.0,369.25,370.0,370.5,363.75,362.5,361.25,360.0,358.75,357.5,345.25,344.0,342.75,341.5,340.25,340.25,340.25,340.25,340.25,340.25,340.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,386.5,385.25,383.25,383.0,383.0,382.75,382.25,381.25,379.75,378.0,376.75,375.0,373.0,373.25,373.0,375.75,376.25,376.5,373.25,369.5,365.75,361.75,358.5,358.0,364.5,366.0,368.25,369.5,370.75,370.75,367.5,368.5,369.5,369.75,370.25,370.5,363.75,362.5,361.25,360.0,358.75,357.5,345.25,344.0,342.75,341.5,340.25,340.25,340.25,340.25,340.25,340.25,340.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,382.25,382.5,380.75,381.25,381.0,380.75,380.5,379.5,378.25,376.75,375.5,373.75,371.75,372.0,372.0,375.0,375.5,375.75,372.25,368.5,364.25,360.25,357.5,357.75,364.0,365.5,367.75,369.0,370.25,370.25,367.25,368.5,369.5,370.0,370.5,371.0,364.25,363.0,361.75,360.5,359.25,358.0,345.75,344.5,343.25,342.0,340.75,340.75,340.75,340.75,340.75,340.75,340.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,382.5,382.25,382.25,382.5,382.5,382.25,381.75,381.0,379.75,377.75,376.25,374.75,373.0,373.25,373.25,376.25,377.0,377.75,374.25,370.75,366.5,362.5,359.75,360.0,366.75,368.25,370.5,371.75,373.0,373.0,370.0,371.25,372.25,372.75,373.25,373.75,367.0,365.75,364.5,363.25,362.0,360.75,348.5,347.25,346.0,344.75,343.5,343.5,343.5,343.5,343.5,343.5,343.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,382.75,382.75,384.0,384.0,384.0,384.0,384.0,383.25,382.0,379.75,378.5,376.75,375.5,376.0,376.0,379.0,380.0,380.0,376.75,373.0,368.5,364.5,361.75,362.25,369.25,370.75,373.0,374.25,375.5,375.5,372.0,373.0,373.75,374.0,374.75,375.25,368.5,367.25,366.0,364.75,363.5,362.25,350.0,348.75,347.5,346.25,345.0,345.0,345.0,345.0,345.0,345.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,382.25,382.5,383.25,383.5,383.5,383.5,382.75,381.75,380.0,378.5,377.25,375.25,375.25,375.75,375.75,376.5,377.5,377.5,376.75,372.5,368.0,364.0,361.25,361.5,368.5,370.0,372.25,373.5,374.75,374.75,371.25,372.25,373.0,373.25,374.0,374.5,367.75,366.5,365.25,364.0,362.75,361.5,349.25,348.0,346.75,345.5,344.25,344.25,344.25,344.25,344.25,344.25,344.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,383.25,383.0,383.75,384.0,384.0,383.75,382.75,381.75,379.75,377.75,376.25,374.25,373.0,373.0,373.0,373.0,372.5,372.0,371.25,369.75,368.0,364.75,360.5,360.25,365.25,366.75,369.0,370.25,371.5,371.5,368.0,369.0,369.75,370.0,370.75,371.25,365.25,364.75,364.25,363.75,363.25,362.75,351.25,350.75,350.25,349.75,349.25,349.25,349.25,349.25,349.25,349.25,349.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,386.25,385.75,386.75,387.0,387.0,386.75,386.0,385.0,383.0,381.0,379.5,377.5,376.25,376.25,376.0,375.75,375.25,374.75,373.75,372.25,370.75,367.5,363.25,363.0,369.5,371.0,373.25,374.5,375.75,375.75,372.25,373.25,374.0,374.25,375.0,375.5,368.5,368.0,367.5,367.0,366.5,366.0,354.5,354.0,353.5,353.0,352.5,352.5,352.5,352.5,352.5,352.5,352.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,385.75,386.0,386.5,387.0,387.0,386.75,386.0,384.75,382.75,380.75,379.25,377.5,375.5,375.5,375.25,375.25,374.75,374.25,373.5,372.0,370.75,367.75,363.5,363.5,371.25,372.75,375.0,376.25,377.5,377.5,374.0,375.0,375.75,376.0,376.75,377.25,370.25,369.75,369.25,368.75,368.25,367.75,356.25,355.75,355.25,354.75,354.25,353.75,290.25,290.25,290.25,290.25,290.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
