,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01
2018-01-02,8.71,8.51,8.14,7.53,6.78,6.53,6.49,6.49,6.58,6.89,7.41,7.76,8.01,8.06,7.67,6.62,6.26,6.18,6.16,6.18,6.29,6.53,7.0,7.34,7.65,7.71,7.42,6.54,6.22,6.18,6.11,6.11,6.17,6.53,6.9,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,8.77,8.57,8.16,7.48,6.73,6.5,6.45,6.46,6.55,6.84,7.35,7.7,7.94,8.0,7.61,6.63,6.28,6.2,6.18,6.2,6.31,6.54,6.97,7.32,7.62,7.68,7.38,6.54,6.22,6.18,6.11,6.1,6.17,6.53,6.86,7.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,8.77,8.57,8.16,7.53,6.78,6.6,6.51,6.52,6.55,6.89,7.4,7.75,8.0,8.05,7.66,6.66,6.31,6.23,6.21,6.23,6.34,6.57,7.01,7.35,7.66,7.72,7.42,6.54,6.22,6.18,6.18,6.17,6.23,6.49,6.92,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,8.59,8.39,8.03,7.32,6.71,6.54,6.44,6.46,6.48,6.77,7.27,7.85,7.96,8.02,7.63,6.64,6.27,6.19,6.17,6.19,6.3,6.54,7.0,7.35,7.66,7.72,7.42,6.51,6.19,6.15,6.15,6.14,6.21,6.46,6.93,7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,8.63,8.43,8.08,7.28,6.72,6.55,6.46,6.47,6.5,6.79,7.28,7.86,7.97,8.03,7.63,6.64,6.28,6.19,6.18,6.19,6.31,6.54,7.0,7.35,7.66,7.71,7.41,6.5,6.18,6.14,6.14,6.13,6.2,6.45,6.9,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,8.74,8.54,8.17,7.51,6.85,6.63,6.53,6.5,6.52,6.82,7.31,7.88,8.0,8.05,7.66,6.65,6.3,6.22,6.21,6.22,6.34,6.57,7.02,7.37,7.68,7.73,7.43,6.53,6.21,6.18,6.17,6.16,6.23,6.48,6.9,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,8.81,8.66,8.31,7.71,7.01,6.73,6.7,6.67,6.7,6.92,7.48,8.06,8.2,8.21,7.82,6.8,6.43,6.35,6.33,6.35,6.46,6.72,7.14,7.49,7.88,7.93,7.64,6.66,6.34,6.3,6.3,6.3,6.36,6.61,6.97,7.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,8.78,8.63,8.28,7.59,6.98,6.7,6.67,6.69,6.72,6.95,7.47,8.04,8.19,8.2,7.81,6.78,6.36,6.27,6.26,6.27,6.39,6.63,7.11,7.46,7.85,7.91,7.61,6.6,6.27,6.23,6.23,6.22,6.29,6.53,6.96,7.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,9.03,8.88,8.48,7.64,7.05,6.82,6.73,6.76,6.78,7.01,7.54,8.12,8.27,8.23,7.83,6.81,6.45,6.32,6.31,6.32,6.44,6.68,7.14,7.49,7.89,7.95,7.64,6.58,6.24,6.2,6.2,6.19,6.26,6.5,6.99,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,8.83,8.68,8.33,7.62,7.04,6.81,6.73,6.75,6.78,7.02,7.55,8.13,8.28,8.24,7.84,6.82,6.46,6.32,6.31,6.32,6.44,6.7,7.16,7.51,7.91,7.97,7.66,6.56,6.22,6.18,6.18,6.17,6.24,6.47,6.99,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
