,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01
2018-01-02,7.91,7.91,7.44,6.98,6.38,6.23,6.24,6.24,6.43,6.74,7.31,7.56,7.81,7.86,7.57,6.57,6.11,6.08,6.06,6.08,6.19,6.43,6.9,7.04,7.45,7.51,7.22,6.49,6.07,6.08,6.01,6.01,6.07,6.43,6.8,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,7.77,7.77,7.36,6.93,6.33,6.2,6.15,6.21,6.4,6.69,7.25,7.5,7.74,7.8,7.51,6.58,6.13,6.1,6.08,6.1,6.21,6.44,6.87,7.02,7.42,7.48,7.18,6.49,6.07,6.08,6.01,6.0,6.07,6.43,6.76,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,7.82,7.72,7.41,6.98,6.38,6.25,6.21,6.22,6.35,6.74,7.25,7.55,7.8,7.85,7.56,6.61,6.16,6.13,6.11,6.13,6.24,6.47,6.91,7.05,7.46,7.52,7.22,6.49,6.07,6.08,6.08,6.07,6.13,6.39,6.82,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,7.64,7.54,7.28,6.77,6.31,6.19,6.14,6.16,6.28,6.62,7.12,7.65,7.76,7.82,7.53,6.59,6.12,6.09,6.07,6.09,6.2,6.44,6.9,7.05,7.46,7.52,7.22,6.46,6.04,6.05,6.05,6.04,6.11,6.36,6.83,6.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,7.68,7.58,7.33,6.78,6.32,6.2,6.16,6.17,6.3,6.64,7.13,7.66,7.77,7.83,7.53,6.59,6.13,6.09,6.08,6.09,6.21,6.44,6.9,7.05,7.46,7.51,7.21,6.45,6.03,6.04,6.04,6.03,6.1,6.35,6.8,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,7.84,7.74,7.52,6.86,6.35,6.23,6.18,6.2,6.32,6.67,7.16,7.68,7.8,7.85,7.56,6.6,6.15,6.12,6.11,6.12,6.24,6.47,6.92,7.07,7.48,7.53,7.23,6.48,6.06,6.08,6.07,6.06,6.13,6.38,6.8,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,7.91,7.81,7.61,6.96,6.46,6.33,6.3,6.32,6.4,6.77,7.33,7.86,7.95,8.01,7.72,6.75,6.28,6.25,6.23,6.25,6.36,6.62,7.04,7.19,7.68,7.73,7.44,6.61,6.19,6.2,6.2,6.2,6.26,6.51,6.87,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,7.88,7.78,7.58,6.94,6.43,6.3,6.27,6.29,6.37,6.75,7.32,7.84,7.94,8.0,7.71,6.73,6.21,6.17,6.16,6.17,6.29,6.53,7.01,7.16,7.65,7.71,7.41,6.55,6.12,6.13,6.13,6.12,6.19,6.43,6.86,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,8.13,8.03,7.78,6.99,6.5,6.37,6.33,6.36,6.43,6.81,7.39,7.92,8.02,8.08,7.73,6.71,6.25,6.22,6.21,6.22,6.34,6.58,7.04,7.19,7.69,7.75,7.44,6.43,6.09,6.1,6.1,6.09,6.16,6.4,6.89,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,7.93,7.83,7.63,6.97,6.49,6.36,6.33,6.35,6.43,6.82,7.4,7.93,8.03,8.09,7.74,6.72,6.26,6.22,6.21,6.22,6.34,6.6,7.06,7.21,7.71,7.77,7.46,6.41,6.07,6.08,6.08,6.07,6.14,6.37,6.89,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
