,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01
2018-01-02,78.211074,77.941074,77.709717,77.445494,77.20106899999998,76.861074,76.411074,75.983859,75.681074,75.391074,75.141074,74.895401,74.671074,74.421074,74.171074,73.920836,73.656697,73.411074,73.411074,73.388703,73.39829,73.317698,73.23210300000002,73.31040300000002,73.426327,73.335571,73.127364,72.89094,72.679884,72.58435,72.52546,72.483222,72.44859699999998,72.39216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,80.09026800000002,79.76026800000002,79.430945,79.009495,78.627762,78.190268,77.680268,77.183518,76.750268,76.460268,76.210268,75.975831,75.770268,75.520268,75.270268,75.022471,74.755891,74.488456,74.476711,74.476711,74.476711,74.383335,74.275369,74.261946,74.324179,74.23342199999998,74.046571,73.772013,73.544178,73.427291,73.356197,73.313959,73.27933399999998,73.245777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,79.733154,79.53315400000002,79.292814,78.944458,78.551899,78.103154,77.603154,77.106403,76.713154,76.443154,76.193154,75.938099,75.733154,75.50315400000002,75.263154,75.03535699999998,74.808152,74.61134200000002,74.599597,74.599597,74.599597,74.506221,74.375883,74.331141,74.331141,74.243892,74.09014,73.82778499999998,73.59995,73.483062,73.411969,73.34791899999998,73.301549,73.267992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,79.15979899999998,78.959799,78.75793399999998,78.46318000000002,78.06916899999997,77.679799,77.229799,76.782584,76.419799,76.199799,75.999799,75.804126,75.639799,75.439799,75.239799,75.10078100000001,74.875422,74.677987,74.66624200000003,74.688613,74.720572,74.663324,74.56557099999998,74.572282,74.623533,74.523625,74.358127,74.12094,73.901495,73.784607,73.713514,73.649463,73.603094,73.569537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,79.102685,78.942685,78.729295,78.45814399999998,78.103306,77.722685,77.29268499999998,76.89500600000002,76.552685,76.352685,76.162685,75.987012,75.862685,75.662685,75.462685,75.333667,75.118308,74.920873,74.90912800000002,74.931499,74.963458,74.90621,74.80845699999998,74.815168,74.866419,74.76651,74.601013,74.388994,74.177938,74.06105,73.98995699999998,73.94771899999998,73.913094,73.879537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,79.78738299999998,79.637383,79.542976,79.342842,79.018004,78.657383,78.237383,77.840168,77.487383,77.25738299999998,77.057383,76.86171,76.72738299999997,76.527383,76.327383,76.199586,75.982381,75.765571,75.753826,75.753826,75.774599,75.71735100000002,75.619598,75.646443,75.686712,75.577651,75.412154,75.17496700000002,74.95552099999998,74.838634,74.76754100000002,74.725302,74.690678,74.65712099999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,80.243624,80.143624,80.049725,79.808044,79.45299399999998,79.053624,78.593624,78.15594499999997,77.793624,77.553624,77.343624,77.13856899999998,76.983624,76.733624,76.483624,76.325827,76.078622,75.831812,75.798182,75.78650999999998,75.807283,75.726691,75.618725,75.665705,75.719396,75.61033499999998,75.402129,75.115369,74.864574,74.73709000000002,74.66599599999998,74.623758,74.58913299999998,74.555576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,80.259396,80.149396,80.024989,79.733816,79.338766,78.939396,78.49939599999998,78.052181,77.709396,77.49939599999998,77.289396,77.08372299999998,76.91939599999998,76.66939599999998,76.41939599999998,76.181599,75.913768,75.66758399999998,75.655839,75.63346800000002,75.622282,75.528906,75.39856800000003,75.434362,75.488054,75.37899300000002,75.170787,74.884027,74.610272,74.450836,74.344196,74.248121,74.167126,74.12289200000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,80.775638,80.595638,80.43123100000003,80.13901899999998,79.76625899999998,79.365638,78.915638,78.468423,78.115638,77.875638,77.645638,77.400583,77.245638,76.985638,76.735638,76.49784100000002,76.230636,75.962014,75.894754,75.87141,75.87141,75.801378,75.681253,75.717047,75.770739,75.68349,75.487029,75.20026899999998,74.926514,74.745723,74.62688100000003,74.55261800000002,74.483368,74.439134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,81.581007,81.471007,81.30609100000002,81.045427,80.691002,80.291007,79.78100699999997,79.323792,78.961007,78.70100699999998,78.461007,78.21656999999998,78.03100699999997,77.771007,77.51100699999998,77.26321,76.99600500000003,76.72738299999997,76.660123,76.636779,76.657552,76.60030400000002,76.480179,76.515973,76.54526,76.448859,76.252398,75.94046999999998,75.658326,75.477535,75.358693,75.28443,75.21518,75.170946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
