,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01
2018-01-02,11.31,11.31,10.29,7.98,7.13,6.88,6.89,6.89,7.01,7.34,7.88,8.41,8.61,8.56,8.12,6.87,6.48,6.4,6.39,6.4,6.49,6.73,7.22,7.62,7.9,7.96,7.67,6.74,6.42,6.35,6.31,6.31,6.42,6.73,7.12,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,11.37,11.27,10.21,7.93,7.08,6.85,6.85,6.86,6.97,7.29,7.82,8.35,8.54,8.5,8.06,6.88,6.51,6.42,6.41,6.42,6.51,6.74,7.19,7.59,7.87,7.93,7.63,6.74,6.42,6.35,6.31,6.3,6.42,6.73,7.09,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,11.47,11.32,10.21,7.78,7.13,6.95,6.91,6.92,6.97,7.34,7.87,8.35,8.65,8.6,8.11,6.91,6.53,6.45,6.44,6.45,6.54,6.77,7.23,7.63,7.91,7.97,7.67,6.74,6.42,6.35,6.38,6.37,6.48,6.69,7.15,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,11.29,11.24,10.13,7.72,7.06,6.89,6.84,6.86,6.98,7.22,7.77,8.35,8.61,8.57,8.08,6.89,6.49,6.41,6.4,6.41,6.5,6.74,7.23,7.63,7.91,7.97,7.67,6.71,6.39,6.32,6.35,6.34,6.46,6.66,7.15,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,11.43,11.23,10.13,7.73,7.12,6.9,6.91,6.92,7.05,7.34,7.83,8.36,8.67,8.68,8.08,6.89,6.5,6.42,6.4,6.42,6.51,6.74,7.23,7.63,7.91,7.96,7.66,6.7,6.38,6.32,6.34,6.33,6.45,6.65,7.13,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,11.64,11.59,10.32,8.01,7.2,6.98,6.96,6.97,7.1,7.39,7.89,8.41,8.7,8.7,8.11,6.9,6.53,6.45,6.43,6.45,6.54,6.77,7.25,7.65,7.93,7.98,7.68,6.73,6.41,6.35,6.37,6.36,6.48,6.68,7.13,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,11.76,11.61,10.61,8.31,7.31,7.08,7.05,7.1,7.2,7.52,8.08,8.61,8.85,8.86,8.27,7.05,6.65,6.57,6.56,6.57,6.66,6.92,7.37,7.76,8.13,8.18,7.89,6.86,6.54,6.48,6.5,6.5,6.61,6.81,7.19,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,11.78,11.68,10.58,8.29,7.33,7.1,7.07,7.09,7.17,7.5,8.07,8.59,8.84,8.9,8.41,7.03,6.71,6.62,6.56,6.57,6.69,6.93,7.36,7.76,8.1,8.16,7.86,6.85,6.57,6.53,6.53,6.52,6.59,6.83,7.36,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,11.83,11.63,10.78,8.14,7.45,7.22,7.13,7.16,7.23,7.56,8.14,8.67,8.97,8.98,8.53,7.11,6.8,6.67,6.61,6.62,6.74,6.98,7.39,7.79,8.14,8.2,7.89,6.88,6.59,6.55,6.55,6.54,6.66,6.95,7.39,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,11.78,11.68,10.63,8.32,7.44,7.21,7.18,7.23,7.33,7.57,8.15,8.68,8.98,8.99,8.54,7.12,6.81,6.67,6.61,6.62,6.74,7.0,7.41,7.81,8.16,8.22,7.91,6.86,6.57,6.53,6.53,6.52,6.64,6.92,7.39,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
