,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01,2026-07-01,2026-08-01,2026-09-01,2026-10-01,2026-11-01,2026-12-01,2027-01-01,2027-02-01,2027-03-01,2027-04-01,2027-05-01,2027-06-01,2027-07-01,2027-08-01,2027-09-01,2027-10-01,2027-11-01,2027-12-01,2028-01-01,2028-02-01,2028-03-01,2028-04-01,2028-05-01,2028-06-01,2028-07-01,2028-08-01,2028-09-01,2028-10-01,2028-11-01,2028-12-01,2029-01-01,2029-02-01,2029-03-01,2029-04-01,2029-05-01,2029-06-01,2029-07-01,2029-08-01,2029-09-01,2029-10-01,2029-11-01,2029-12-01,2030-01-01,2030-02-01,2030-03-01,2030-04-01,2030-05-01,2030-06-01,2030-07-01,2030-08-01,2030-09-01,2030-10-01,2030-11-01,2030-12-01,2031-01-01,2031-02-01,2031-03-01,2031-04-01,2031-05-01,2031-06-01,2031-07-01,2031-08-01,2031-09-01,2031-10-01,2031-11-01,2031-12-01,2032-01-01,2032-02-01,2032-03-01,2032-04-01,2032-05-01,2032-06-01
2019-06-12,2.899,2.893,2.989,3.29,3.955,4.739,4.971,4.998,4.99,4.89,4.542,4.381,4.247,4.2810000000000015,4.298,4.315,4.592,4.7330000000000005,4.78,4.891,4.885,4.766,4.388,4.244,4.199,4.175,4.142,4.184,4.461,4.557,4.657,4.68,4.678,4.609,4.282,4.142,4.098,4.081,4.049,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-13,2.9410000000000003,2.9360000000000004,3.032,3.335,3.963,4.751,4.984,5.017,5.009,4.909,4.5939999999999985,4.432,4.297,4.331,4.348,4.365,4.65,4.791,4.839,4.9510000000000005,4.944,4.825,4.445,4.301,4.255,4.231,4.198,4.239,4.5360000000000005,4.632,4.7330000000000005,4.755,4.753,4.683,4.337,4.1960000000000015,4.151,4.134,4.103,4.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-14,2.942,2.9360000000000004,3.02,3.298,3.928,4.7189999999999985,4.954,4.987,4.979,4.878,4.573,4.4110000000000005,4.275,4.31,4.327,4.3439999999999985,4.635,4.777,4.825,4.938,4.931,4.811,4.455,4.31,4.2639999999999985,4.24,4.207,4.248,4.529,4.625,4.726,4.749,4.747,4.677,4.323,4.181,4.137,4.12,4.088,4.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-17,2.9960000000000004,2.991,3.075,3.353,3.945,4.737,4.971,5.004,4.996,4.895,4.573,4.41,4.275,4.309,4.3260000000000005,4.343,4.634,4.776,4.824,4.936,4.93,4.81,4.445,4.3,4.254,4.23,4.197,4.239,4.5,4.597,4.698,4.721,4.7189999999999985,4.65,4.314,4.172,4.128,4.11,4.079,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-18,2.872,2.867,2.929,3.189,3.846,4.649,4.885,4.9289999999999985,4.921,4.82,4.5280000000000005,4.365,4.229,4.263,4.28,4.297,4.615,4.758,4.806,4.919,4.912,4.792,4.428,4.283,4.237,4.212,4.1789999999999985,4.221,4.471,4.5680000000000005,4.67,4.6930000000000005,4.691,4.621,4.327,4.185,4.14,4.123,4.091,4.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-19,2.74,2.736,2.807,3.0660000000000003,3.755,4.556,4.791,4.847,4.839,4.738,4.4689999999999985,4.307,4.171,4.205,4.222,4.239,4.575,4.717,4.765,4.877,4.871,4.751,4.4060000000000015,4.262,4.216,4.191,4.158,4.2,4.455,4.552,4.6530000000000005,4.676,4.673,4.604,4.31,4.169,4.124,4.107,4.0760000000000005,4.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-20,2.64,2.636,2.7710000000000004,3.029,3.746,4.585,4.8439999999999985,4.893,4.885,4.785,4.522,4.3610000000000015,4.226,4.261,4.2780000000000005,4.296,4.669,4.811,4.859,4.971,4.965,4.846,4.485,4.341,4.296,4.272,4.24,4.282,4.53,4.627,4.729,4.752,4.75,4.681,4.316,4.175,4.131,4.114,4.083,4.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-21,2.66,2.656,2.817,3.0810000000000004,3.812,4.649,4.907,4.955,4.947,4.847,4.573,4.412,4.277,4.311,4.328,4.345,4.698,4.839,4.886,4.998,4.992,4.873,4.507,4.363,4.317,4.293,4.26,4.302,4.561,4.657,4.758,4.78,4.7780000000000005,4.709,4.393,4.253,4.208,4.191,4.16,4.2010000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-24,2.617,2.613,2.773,3.035,3.79,4.622,4.879,4.9460000000000015,4.938,4.839,4.595,4.435,4.302,4.336,4.353,4.37,4.714,4.855,4.902,5.0139999999999985,5.007,4.8889999999999985,4.519,4.376,4.331,4.307,4.275,4.316,4.544,4.64,4.74,4.763,4.761,4.692,4.385,4.245,4.2010000000000005,4.184,4.1530000000000005,4.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-25,2.53,2.527,2.68,2.9560000000000004,3.684,4.564,4.851,4.897,4.84,4.794,4.526,4.339,4.301,4.293,4.29,4.377,4.564,4.787,4.958,4.975,4.9510000000000005,4.854,4.477,4.334,4.289,4.265,4.2330000000000005,4.275,4.51,4.606,4.706,4.754,4.752,4.683,4.363,4.223,4.1789999999999985,4.162,4.131,4.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
